"Designator","Footprint","Quantity","Value","LCSC Part #"
"BATT1","JST_S2B-PH-SM4-TB_LF__SN_",1,"BATT","C2905019"
"C1, C2, C3, C4",603,4,"1uF","C15849"
"C5",603,1,"4.7uF","C19666"
"C6",603,1,"22uF","C60077"
"C7",603,1,"100pF","C14858"
"C8",603,1,"100nF","C14663"
"D1, D2","D_SOD-523",2,"ESD5B5.0ST1G","C29779759"
"D3","SODFL1006X43N",1,"ESD9X5.0ST5G","C87910"
"IC1","SOT8",1,"LM66200DRLR","C3235556"
"L1",1008,1,"1uH, 1A","C315711"
"R1, R2, R7",603,3,"10K","C25804"
"R10",603,1,"1M","C22935"
"R11",603,1,"3.3M","C26096"
"R12, R13, R14, R15",603,4,"750K","C861550"
"R16, R17, R5, R8",603,4,"100K","C25803"
"R3, R4",603,2,"5.1K","C23186"
"R6",603,1,"1.8K","C4177"
"R9",603,1,"453K","C861412"
"SW1","SW_TS-1088-AR02016",1,"RST","C720477"
"SW2","SW_TS-1088-AR02016",1,"BOOT","C720477"
"T1, T2, T3, T4","AUDIO-SMD_XKB_PJ-2180-SMT",4,"PJ-2180-SMT","C2885001"
"U1","ESP32-C3-MINI-1",1,"ESP32-C3-MINI-1","C2934569"
"U2","SOT-563",1,"TPS62A01DRL","C5157937"
"U3","DBV0006A_N",1,"BQ21040DBVR","C202311"
"USB1","AMPHENOL_12402012E212A",1,"12402012E212A","C2988369"
